City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Port Alfred,ZA,2022-07-02 21:27:25,-33.5906,26.891,70.5,56,13,9.69,few clouds
1,Victoria,HK,2022-07-02 21:26:23,22.2855,114.1577,84.38,85,100,25.01,light rain
2,Punta Arenas,CL,2022-07-02 21:27:25,-53.15,-70.9167,37.51,75,75,13.8,broken clouds
3,Ushuaia,AR,2022-07-02 21:27:26,-54.8,-68.3,40.66,52,20,10.36,few clouds
4,Ribeira Grande,PT,2022-07-02 21:27:26,38.5167,-28.7,67.51,79,5,15.37,clear sky
5,Rikitea,PF,2022-07-02 21:27:26,-23.1203,-134.9692,74.01,73,7,20.11,light rain
6,Butaritari,KI,2022-07-02 21:27:27,3.0707,172.7902,82.58,78,100,19.22,light rain
7,Middelburg,ZA,2022-07-02 21:27:27,-25.7751,29.4648,48.61,47,0,3.29,clear sky
8,Cidreira,BR,2022-07-02 21:27:27,-30.1811,-50.2056,66.27,85,46,9.66,scattered clouds
9,Ordu,TR,2022-07-02 21:27:27,40.9086,37.6845,57.7,93,0,4.23,clear sky
10,Mandalgovi,MN,2022-07-02 21:27:28,45.7625,106.2708,65.71,62,100,17.45,overcast clouds
11,Ronneby,SE,2022-07-02 21:27:28,56.21,15.276,61.3,94,5,2.3,clear sky
12,Klaksvik,FO,2022-07-02 21:27:28,62.2266,-6.589,49.12,91,100,21.03,light rain
13,Hermanus,ZA,2022-07-02 21:27:28,-34.4187,19.2345,58.8,72,2,19.24,clear sky
14,Yumen,CN,2022-07-02 21:27:29,40.2833,97.2,70.07,36,65,7.43,broken clouds
15,Atuona,PF,2022-07-02 21:27:29,-9.8,-139.0333,77.43,77,0,14.07,clear sky
16,Stromness,GB,2022-07-02 21:27:29,58.965,-3.296,52.88,88,99,5.99,overcast clouds
17,Santa Cruz,BO,2022-07-02 21:27:29,-17.8,-63.1667,83.66,51,75,18.41,broken clouds
18,Saskylakh,RU,2022-07-02 21:27:30,71.9167,114.0833,58.98,59,74,8.14,broken clouds
19,Torbat-E Jam,IR,2022-07-02 21:27:30,35.244,60.6225,84.42,17,0,13.89,clear sky
20,Mataura,NZ,2022-07-02 21:27:30,-46.1927,168.8643,42.48,95,40,3.4,scattered clouds
21,Duma,CN,2022-07-02 21:27:31,34.7653,108.135,65.48,77,0,1.61,clear sky
22,Sao Gabriel Da Cachoeira,BR,2022-07-02 21:27:31,-0.1303,-67.0892,85.8,70,40,5.75,scattered clouds
23,Fomboni,KM,2022-07-02 21:27:31,-12.28,43.7425,78.1,68,75,14.63,light rain
24,Zonguldak,TR,2022-07-02 21:27:31,41.25,31.8333,57.78,90,0,2.98,clear sky
25,Bambous Virieux,MU,2022-07-02 21:27:32,-20.3428,57.7575,71.85,60,40,17.27,scattered clouds
26,Barrow,US,2022-07-02 21:27:32,71.2906,-156.7887,46.42,76,0,12.66,clear sky
27,Longyearbyen,SJ,2022-07-02 21:27:32,78.2186,15.6401,45.43,87,95,3.38,overcast clouds
28,Krasnovishersk,RU,2022-07-02 21:27:32,60.4078,57.082,54.59,88,91,4.83,overcast clouds
29,Shama,CN,2022-07-02 21:27:33,33.6102,104.2852,53.74,92,1,3.94,clear sky
30,Grand Baie,MU,2022-07-02 21:25:45,-20.0182,57.5802,72.07,59,90,8.99,overcast clouds
31,Lanxi,CN,2022-07-02 21:25:42,29.2195,119.477,75.67,90,100,3.89,overcast clouds
32,Leningradskiy,RU,2022-07-02 21:27:33,69.3833,178.4167,40.75,85,94,5.61,overcast clouds
33,Medea,DZ,2022-07-02 21:27:33,36.2642,2.7539,81.23,29,100,2.86,overcast clouds
34,Carutapera,BR,2022-07-02 21:27:33,-1.195,-46.02,76.73,90,11,7.72,few clouds
35,Busselton,AU,2022-07-02 21:27:34,-33.65,115.3333,48.42,77,0,7.18,clear sky
36,Upernavik,GL,2022-07-02 21:25:50,72.7868,-56.1549,40.28,80,92,3.98,overcast clouds
37,Lormi,IN,2022-07-02 21:27:34,22.2833,81.7333,80.85,79,100,2.62,overcast clouds
38,Jamestown,US,2022-07-02 21:27:34,42.097,-79.2353,78.53,47,0,8.05,clear sky
39,Albany,US,2022-07-02 21:25:05,42.6001,-73.9662,82.81,61,48,1.01,scattered clouds
40,Georgetown,MY,2022-07-02 21:27:35,5.4112,100.3354,84.88,84,20,2.3,few clouds
41,Makushino,RU,2022-07-02 21:27:35,55.2103,67.2442,52.18,87,100,6.76,overcast clouds
42,Svetlyy,RU,2022-07-02 21:27:35,54.675,20.1347,60.96,90,0,7.11,clear sky
43,Port-Gentil,GA,2022-07-02 21:27:35,-0.7193,8.7815,76.96,83,75,9.22,broken clouds
44,Tabas,IR,2022-07-02 21:27:36,33.5959,56.9244,91.98,11,31,4.12,scattered clouds
45,Hilo,US,2022-07-02 21:27:36,19.7297,-155.09,81.28,80,100,10.36,overcast clouds
46,Bluff,NZ,2022-07-02 21:27:36,-46.6,168.3333,42.8,81,34,23.85,scattered clouds
47,Chinhoyi,ZW,2022-07-02 21:27:37,-17.3667,30.2,54.07,85,23,4.34,few clouds
48,Charters Towers,AU,2022-07-02 21:27:37,-20.1,146.2667,59.9,93,100,11.43,overcast clouds
49,Eureka,US,2022-07-02 21:27:37,40.8021,-124.1637,65.68,82,100,5.01,overcast clouds
50,Bredasdorp,ZA,2022-07-02 21:27:37,-34.5322,20.0403,54.86,71,0,14.52,clear sky
51,Kavieng,PG,2022-07-02 21:27:38,-2.5744,150.7967,82.36,80,27,14.92,light rain
52,Vaini,TO,2022-07-02 21:27:38,-21.2,-175.2,73.56,83,20,8.05,few clouds
53,Andilamena,MG,2022-07-02 21:27:38,-17.0167,48.5833,56.17,96,100,13.35,light rain
54,Sivaki,RU,2022-07-02 21:27:38,52.6333,126.75,66.78,88,18,4.21,few clouds
55,Mananara,MG,2022-07-02 21:27:39,-16.1667,49.7667,70.25,75,64,12.82,light rain
56,Puerto Ayora,EC,2022-07-02 21:27:39,-0.7393,-90.3518,76.96,84,63,5.99,broken clouds
57,Araouane,ML,2022-07-02 21:27:39,18.9048,-3.5265,101.68,16,13,7.87,few clouds
58,Nyaunglebin,MM,2022-07-02 21:27:39,17.95,96.7333,75.99,92,100,4.27,overcast clouds
59,Kargasok,RU,2022-07-02 21:27:40,59.0556,80.8572,51.85,97,76,8.12,broken clouds
60,Port Hardy,CA,2022-07-02 21:27:40,50.6996,-127.4199,62.78,77,40,9.22,scattered clouds
61,Lompoc,US,2022-07-02 21:27:40,34.6391,-120.4579,78.69,74,0,19.57,clear sky
62,Hay River,CA,2022-07-02 21:27:41,60.8156,-115.7999,67.98,60,40,10.36,smoke
63,Coquimbo,CL,2022-07-02 21:27:41,-29.9533,-71.3436,58.73,77,0,12.66,clear sky
64,Bethel,US,2022-07-02 21:27:41,41.3712,-73.414,88.63,45,20,11.5,few clouds
65,Tiksi,RU,2022-07-02 21:27:41,71.6872,128.8694,41.67,97,100,4.76,light rain
66,Los Llanos De Aridane,ES,2022-07-02 21:27:42,28.6585,-17.9182,67.75,90,75,14.97,broken clouds
67,Dikson,RU,2022-07-02 21:27:42,73.5069,80.5464,32.86,96,92,12.95,overcast clouds
68,Saurimo,AO,2022-07-02 21:27:42,-9.6608,20.3916,61.95,38,0,5.61,clear sky
69,Fortuna,US,2022-07-02 21:27:42,40.5982,-124.1573,61.66,90,100,1.99,overcast clouds
70,Tazovskiy,RU,2022-07-02 21:27:43,67.4667,78.7,46.85,67,100,13.24,overcast clouds
71,Ambilobe,MG,2022-07-02 21:27:43,-13.2,49.05,65.68,72,86,3.22,overcast clouds
72,Sorong,ID,2022-07-02 21:27:43,-0.8833,131.25,77.16,89,100,1.45,light rain
73,Mwinilunga,ZM,2022-07-02 21:27:43,-11.7358,24.4293,60.33,45,95,2.91,overcast clouds
74,Caluquembe,AO,2022-07-02 21:27:44,-13.7833,14.6833,56.66,36,0,4.9,clear sky
75,Enkoping,SE,2022-07-02 21:27:44,59.6361,17.0777,64.26,70,0,6.13,clear sky
76,Morondava,MG,2022-07-02 21:27:44,-20.2833,44.2833,67.71,58,0,10.8,clear sky
77,Wilmington,US,2022-07-02 21:27:44,34.2257,-77.9447,82.31,80,75,8.05,broken clouds
78,Caravelas,BR,2022-07-02 21:27:45,-17.7125,-39.2481,70.7,86,27,5.01,scattered clouds
79,Murupara,NZ,2022-07-02 21:27:45,-38.4667,176.7,44.92,88,100,0.49,overcast clouds
80,Arraial Do Cabo,BR,2022-07-02 21:27:45,-22.9661,-42.0278,75.06,69,0,14.97,clear sky
81,Lensk,RU,2022-07-02 21:27:46,60.7253,114.9278,68.09,83,47,3.27,scattered clouds
82,Wuwei,CN,2022-07-02 21:27:46,37.9281,102.6414,69.87,34,5,6.31,clear sky
83,Amboasary,MG,2022-07-02 21:27:46,-25.0333,46.3833,59.79,79,0,5.35,clear sky
84,Auki,SB,2022-07-02 21:27:46,-8.7676,160.7034,79.61,81,68,4.63,broken clouds
85,Berlevag,NO,2022-07-02 21:27:47,70.8578,29.0864,75.2,77,14,5.75,few clouds
86,Logon,PH,2022-07-02 21:27:47,11.3303,124.1146,82.13,78,100,4.56,overcast clouds
87,Kapaa,US,2022-07-02 21:27:47,22.0752,-159.319,82.72,71,75,16.11,broken clouds
88,Avarua,CK,2022-07-02 21:27:47,-21.2078,-159.775,78.85,57,27,12.66,scattered clouds
89,Tasiilaq,GL,2022-07-02 21:25:49,65.6145,-37.6368,42.96,83,49,6.58,scattered clouds
90,Yellowknife,CA,2022-07-02 21:24:03,62.456,-114.3525,68.56,45,75,10.36,broken clouds
91,Cherskiy,RU,2022-07-02 21:27:48,68.75,161.3,40.64,93,100,13.29,light rain
92,Seoul,KR,2022-07-02 21:24:16,37.5683,126.9778,74.8,94,20,1.14,mist
93,Mayya,RU,2022-07-02 21:27:48,61.7333,130.2811,67.32,67,100,3.62,overcast clouds
94,Faanui,PF,2022-07-02 21:27:48,-16.4833,-151.75,79.14,66,8,19.22,clear sky
95,Kendari,ID,2022-07-02 21:27:49,-3.945,122.4989,75.85,92,43,1.03,scattered clouds
96,Yanliang,CN,2022-07-02 21:27:49,34.6592,109.2292,78.44,69,0,2.59,clear sky
97,Lavrentiya,RU,2022-07-02 21:27:49,65.5833,-171.0,47.53,89,100,5.23,overcast clouds
98,Isangel,VU,2022-07-02 21:27:49,-19.55,169.2667,78.91,89,40,17.27,scattered clouds
99,Provideniya,RU,2022-07-02 21:27:50,64.3833,-173.3,50.32,75,98,4.56,overcast clouds
100,Rimouski,CA,2022-07-02 21:27:50,48.4488,-68.524,75.38,57,8,10.98,clear sky
101,Sao Joao Do Piaui,BR,2022-07-02 21:27:50,-8.3581,-42.2467,83.88,47,96,8.79,overcast clouds
102,Honiara,SB,2022-07-02 21:27:51,-9.4333,159.95,80.58,73,5,7.25,clear sky
103,Krasnyy Kut,RU,2022-07-02 21:27:51,50.95,46.9667,55.35,96,100,7.81,overcast clouds
104,Seymchan,RU,2022-07-02 21:27:51,62.8833,152.4333,53.2,65,100,8.08,overcast clouds
105,Constitucion,CL,2022-07-02 21:27:51,-35.3333,-72.4167,52.05,70,41,13.67,scattered clouds
106,Puerto Escondido,MX,2022-07-02 21:27:52,15.85,-97.0667,86.83,58,40,11.5,scattered clouds
107,Togur,RU,2022-07-02 21:27:52,58.3631,82.8265,48.72,98,54,7.25,broken clouds
108,Naples,IT,2022-07-02 21:25:35,40.8333,14.25,86.38,52,0,4.61,clear sky
109,Meybod,IR,2022-07-02 21:27:52,32.2501,54.0166,98.62,10,2,8.43,clear sky
110,Ludwigslust,DE,2022-07-02 21:27:52,53.3167,11.5,68.83,55,47,5.97,scattered clouds
111,Hithadhoo,MV,2022-07-02 21:27:53,-0.6,73.0833,83.82,71,100,18.77,overcast clouds
112,Bengkulu,ID,2022-07-02 21:27:53,-3.8004,102.2655,74.52,86,59,3.47,broken clouds
113,Half Moon Bay,US,2022-07-02 21:27:53,37.4636,-122.4286,76.05,77,100,18.41,mist
114,Port Elizabeth,ZA,2022-07-02 21:27:53,-33.918,25.5701,63.32,78,75,14.97,broken clouds
115,New Norfolk,AU,2022-07-02 21:27:54,-42.7826,147.0587,40.71,88,28,3.53,scattered clouds
116,Airai,TL,2022-07-02 21:27:54,-8.9266,125.4092,59.34,97,99,3.91,overcast clouds
117,Sitka,US,2022-07-02 21:27:54,57.0531,-135.33,62.49,72,75,8.05,broken clouds
118,Itubera,BR,2022-07-02 21:27:55,-13.7322,-39.1492,70.45,90,16,5.03,few clouds
119,Pevek,RU,2022-07-02 21:27:55,69.7008,170.3133,32.07,99,100,2.15,snow
120,Nikolayevka,RU,2022-07-02 21:23:13,53.1257,47.2041,54.86,93,6,8.16,clear sky
121,Mezen,RU,2022-07-02 21:27:55,65.8522,44.24,46.08,90,1,4.61,clear sky
122,Chowchilla,US,2022-07-02 21:27:55,37.123,-120.2602,93.02,21,0,9.22,clear sky
123,Mnogovershinnyy,RU,2022-07-02 21:27:56,53.9353,139.9242,66.22,51,99,3.24,overcast clouds
124,Vitim,RU,2022-07-02 21:27:56,59.4511,112.5578,68.13,70,38,4.38,scattered clouds
125,Novoagansk,RU,2022-07-02 21:27:56,61.9449,76.6625,50.56,82,100,8.52,overcast clouds
126,Fort Frances,CA,2022-07-02 21:27:56,48.5999,-93.4003,72.16,42,40,8.05,scattered clouds
127,Simoes,BR,2022-07-02 21:27:57,-7.5989,-40.8178,74.77,73,47,12.48,scattered clouds
128,Cape Town,ZA,2022-07-02 21:27:07,-33.9258,18.4232,58.87,86,40,13.8,light rain
129,Vestmannaeyjar,IS,2022-07-02 21:27:57,63.4427,-20.2734,51.96,84,9,24.67,clear sky
130,Kloulklubed,PW,2022-07-02 21:27:57,7.0419,134.2556,77.5,76,100,12.53,overcast clouds
131,Qaanaaq,GL,2022-07-02 21:25:47,77.484,-69.3632,38.08,91,100,3.13,light rain
132,Kilosa,TZ,2022-07-02 21:27:58,-6.8333,36.9833,62.22,70,34,1.81,scattered clouds
133,Geraldton,AU,2022-07-02 21:25:49,-28.7667,114.6,41.41,81,0,11.5,clear sky
134,Vanimo,PG,2022-07-02 21:27:58,-2.6741,141.3028,76.35,89,86,4.61,overcast clouds
135,Khandyga,RU,2022-07-02 21:27:58,62.6667,135.6,65.86,61,65,0.45,broken clouds
136,Vicuna,CL,2022-07-02 21:27:58,-30.0319,-70.7081,65.77,37,23,3.44,few clouds
137,Purpe,RU,2022-07-02 21:27:59,64.4803,76.6897,50.04,84,100,16.06,light rain
138,Petropavlovsk-Kamchatskiy,RU,2022-07-02 21:27:59,53.0452,158.6483,57.79,82,75,4.47,broken clouds
139,Moree,AU,2022-07-02 21:27:59,-29.4667,149.85,39.22,93,100,4.61,overcast clouds
140,Saldanha,ZA,2022-07-02 21:27:59,-33.0117,17.9442,55.45,80,17,9.55,few clouds
141,Gat,IL,2022-07-02 21:28:00,31.61,34.7642,77.68,100,0,0.58,clear sky
142,Torbay,CA,2022-07-02 21:28:00,47.6666,-52.7314,71.76,58,75,13.8,broken clouds
143,Nikolskoye,RU,2022-07-02 21:28:00,59.7035,30.7861,71.49,61,100,4.56,overcast clouds
144,Batsfjord,NO,2022-07-02 21:28:01,70.6345,29.7185,73.18,60,14,8.05,few clouds
145,Beyneu,KZ,2022-07-02 21:28:01,45.3167,55.2,72.37,57,100,20.69,light rain
146,Hurghada,EG,2022-07-02 21:28:01,27.2574,33.8129,89.64,15,0,5.75,clear sky
147,Otane,NZ,2022-07-02 21:28:01,-39.8833,176.6333,44.49,81,16,2.26,few clouds
148,Mattawa,US,2022-07-02 21:28:02,46.7379,-119.9028,92.01,29,33,5.99,scattered clouds
149,Valdez,EC,2022-07-02 21:28:02,1.2492,-78.9831,79.05,79,96,12.19,overcast clouds
150,Rawson,AR,2022-07-02 21:28:02,-43.3002,-65.1023,48.13,46,60,14.16,broken clouds
151,Kautokeino,NO,2022-07-02 21:28:02,69.0125,23.0412,67.35,84,29,11.23,scattered clouds
152,Aripuana,BR,2022-07-02 21:24:23,-9.1667,-60.6333,86.77,48,61,2.77,broken clouds
153,Saint-Philippe,RE,2022-07-02 21:28:03,-21.3585,55.7679,67.59,78,81,13.27,broken clouds
154,Bhandaria,BD,2022-07-02 21:28:03,22.4861,90.0609,80.2,89,95,5.95,overcast clouds
155,Port Lincoln,AU,2022-07-02 21:28:03,-34.7333,135.8667,52.7,70,98,9.51,overcast clouds
156,Fayaoue,NC,2022-07-02 21:28:04,-20.65,166.5333,77.11,77,100,16.51,overcast clouds
157,Castro,BR,2022-07-02 21:28:04,-24.7911,-50.0119,58.64,82,0,4.61,clear sky
158,Maua,BR,2022-07-02 21:28:04,-23.6678,-46.4614,75.49,48,0,1.57,clear sky
159,Mugla,TR,2022-07-02 21:27:00,37.2303,28.3557,72.16,38,0,7.99,clear sky
160,Souillac,MU,2022-07-02 21:28:05,-20.5167,57.5167,71.98,60,40,17.27,light rain
161,Nuuk,GL,2022-07-02 21:28:05,64.1835,-51.7216,56.01,54,20,11.5,few clouds
162,Alexandria,EG,2022-07-02 21:28:05,31.2156,29.9553,77.54,69,40,4.61,scattered clouds
163,Turukhansk,RU,2022-07-02 21:25:30,65.8167,87.9833,51.93,77,30,6.64,scattered clouds
164,Kahta,TR,2022-07-02 21:28:06,37.7855,38.6237,78.17,35,0,6.55,clear sky
165,Hutchinson,US,2022-07-02 21:24:52,38.0608,-97.9298,90.03,60,75,6.91,broken clouds
166,Mar Del Plata,AR,2022-07-02 21:28:06,-38.0023,-57.5575,47.08,67,20,5.75,few clouds
167,Sambava,MG,2022-07-02 21:28:06,-14.2667,50.1667,70.14,84,64,15.9,light rain
168,Alofi,NU,2022-07-02 21:28:06,-19.0595,-169.9187,80.49,78,15,6.91,few clouds
169,Murray Bridge,AU,2022-07-02 21:28:07,-35.1167,139.2667,47.12,78,15,5.84,few clouds
170,Chokurdakh,RU,2022-07-02 21:28:07,70.6333,147.9167,56.66,43,22,6.06,few clouds
171,Linhai,CN,2022-07-02 21:28:07,28.85,121.1167,75.92,81,100,0.67,overcast clouds
172,Maniitsoq,GL,2022-07-02 21:28:08,65.4167,-52.9,44.62,80,83,8.37,broken clouds
173,Narsaq,GL,2022-07-02 21:28:08,60.9167,-46.05,62.82,56,72,5.48,broken clouds
174,Saint-Leu,RE,2022-07-02 21:28:08,-21.15,55.2833,68.83,68,25,9.69,scattered clouds
175,Brae,GB,2022-07-02 21:28:08,60.3964,-1.353,52.81,89,100,8.5,overcast clouds
176,Orodara,BF,2022-07-02 21:28:09,10.9492,-4.9342,71.56,95,100,3.31,overcast clouds
177,Addis Abeba,ET,2022-07-02 21:28:09,9.025,38.7469,56.32,80,88,4.27,overcast clouds
178,Tuatapere,NZ,2022-07-02 21:28:09,-46.1333,167.6833,45.1,88,70,4.97,broken clouds
179,Ilo,PE,2022-07-02 21:28:09,-17.6394,-71.3375,63.46,72,100,8.05,overcast clouds
180,Ilulissat,GL,2022-07-02 21:28:10,69.2167,-51.1,44.62,76,40,5.75,scattered clouds
181,Thompson,CA,2022-07-02 21:24:44,55.7435,-97.8558,66.36,45,75,3.44,broken clouds
182,Caconda,AO,2022-07-02 21:28:10,-13.7333,15.0667,55.81,36,1,2.46,clear sky
183,Koumac,NC,2022-07-02 21:28:10,-20.5667,164.2833,74.75,80,99,4.72,overcast clouds
184,Oranjestad,AW,2022-07-02 21:28:11,12.524,-70.027,84.15,74,40,13.8,scattered clouds
185,San Benito,US,2022-07-02 21:28:11,36.6166,-121.0844,77.86,30,0,9.62,clear sky
186,Saint George,US,2022-07-02 21:28:02,37.1041,-113.5841,105.26,11,0,17.27,clear sky
187,Tiarei,PF,2022-07-02 21:28:11,-17.5333,-149.3333,80.62,75,26,17.87,light rain
188,San Juan,AR,2022-07-02 21:28:12,-31.5375,-68.5364,56.64,23,0,7.96,clear sky
189,Yakovlevka,RU,2022-07-02 21:28:12,44.425,133.4772,68.92,96,91,4.12,overcast clouds
190,Talnakh,RU,2022-07-02 21:28:12,69.4865,88.3972,52.21,65,74,14.52,broken clouds
191,Xochihuehuetlan,MX,2022-07-02 21:28:12,17.9167,-98.4333,93.78,22,52,5.53,broken clouds
192,Richards Bay,ZA,2022-07-02 21:28:13,-28.783,32.0377,64.58,51,0,11.68,clear sky
193,Yar-Sale,RU,2022-07-02 21:28:13,66.8333,70.8333,44.71,81,100,12.39,overcast clouds
194,Nemuro,JP,2022-07-02 21:28:13,43.3236,145.575,57.22,99,100,4.68,overcast clouds
